mass_1,mass_2,chi_1,chi_2,luminosity_distance,dec,ra,theta_jn,psi,phase,geocent_time,log_likelihood,log_prior,log_likelihood_eob
40.94928028807581,31.044524498712086,-0.4835636713004355,0.4910534437968412,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.559422026696595,-7.8601850574721635,-36521.37589586167
44.164887895695,40.78916680476827,-0.09152112247059921,0.6730612408155912,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.57429908714467,-7.8601850574721635,-37455.04092642198
46.89929457811419,33.09585232340856,0.0003068628860574685,0.08502140456915844,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.586981514020906,-7.8601850574721635,-36941.49515889722
57.0761167724062,32.54245402731936,0.4932647442401289,0.15147378090547853,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.598546364343775,-7.8601850574721635,-37556.86035935807
59.10567747697137,31.42685073928783,0.3656715215092501,0.4542123856984963,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.61642022142725,-7.8601850574721635,-37450.76872615611
50.406109080212566,36.41743446328237,0.26956980095072336,0.4376375326598501,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.62223684480801,-7.8601850574721635,-36631.64644264053
33.47870486737857,30.1777361491155,-0.5108149022184604,-0.733429456679781,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.646719670568395,-7.8601850574721635,-35964.15953218643
47.83868497798064,33.962732544823695,0.3314793018661111,-0.26891474624377426,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.649833846852175,-7.8601850574721635,-37047.416814209406
39.733572983215474,39.03842331621202,-0.10773722094136066,0.17914075140059804,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.67906252837393,-7.8601850574721635,-37036.44913880572
38.92588926472592,33.50256899949925,0.2030434375277783,-0.3545628878012784,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.702975718783705,-7.8601850574721635,-36712.31731307699
41.853447710171686,31.75435995002804,-0.22277871999596363,0.32865051306320797,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.710744950212856,-7.8601850574721635,-36606.43910629487
43.04224002100512,30.871523502732476,-0.07705780206510453,0.1597107004072467,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.71383314407244,-7.8601850574721635,-36578.896442719284
47.96020341548111,33.39776188847078,0.29651440450406036,-0.22864602975200152,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.75167590562444,-7.8601850574721635,-36960.484038251634
50.59438271638793,30.919566311070046,-0.15999100821083417,0.5310290492801133,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.76237989079796,-7.8601850574721635,-36692.415807624006
51.39266740641617,33.65079929454239,0.578931420388739,-0.3546024886084188,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.809695535420396,-7.8601850574721635,-37229.73887524362
41.609775609345476,38.17124511052873,0.596549991649153,-0.5147450129086487,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.81395097337107,-7.8601850574721635,-36954.39673175672
