mass_1,mass_2,spin_1z,spin_2z,luminosity_distance,theta_jn,phase,geocent_time,ra,dec,psi,log_likelihood,log_prior
31.090687820619607,36.91261991114822,-0.22030667069645962,0.19921932251253427,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.8418594986754,-8.553332238032109
32.47026821064647,36.72223210170379,-0.22974426600108622,0.157229572089707,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.8927806240007,-8.553332238032109
33.881549882257644,33.36986727603928,0.12406561534911409,0.1069685437733569,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.8971128401945,-8.553332238032109
33.78887611461946,34.15736507138389,0.6510413681069641,-0.5372036899471014,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.907280597027,-8.553332238032109
38.22224085647277,31.375518096270156,-0.4527563336209999,0.5523138570110517,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.9214658732435,-8.553332238032109
34.03104068752346,35.35231208294341,-0.34328713690509755,0.2702287133429413,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.9583455649146,-8.553332238032109
30.110697514185283,37.23490260598574,-0.5753154667074313,0.5719406477903973,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.9603447206846,-8.553332238032109
38.407466039351185,31.945074784008145,-0.33083430769804395,0.1521240367896851,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.9846964689045,-8.553332238032109
35.05156919676955,34.49121895770252,-0.3832702608998671,0.21380809583397123,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.9881929065515,-8.553332238032109
34.31505566209368,34.04044007762864,0.4622096097088855,-0.3371072935988542,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.9949853572191,-8.553332238032109
36.07240335725902,32.03896503139577,0.4922542916713271,-0.5559000895947196,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.0028575975805,-8.553332238032109
34.29969680653808,34.756296444337174,0.2673141648702671,-0.2330850861499771,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.012385270849,-8.553332238032109
34.443804816952834,35.087892231210986,-0.21709692543654782,0.15087349626729687,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.0198807475005,-8.553332238032109
36.76398707749841,32.577756099957206,0.2064435807132351,-0.292994877898459,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.0258029213892,-8.553332238032109
33.66545478172738,35.73885778251596,-0.33532051494237064,0.18025702299389407,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.0264470519377,-8.553332238032109
33.895114849256245,33.284449430010525,0.547888533232175,-0.2885477945441697,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.0301266763472,-8.553332238032109
33.6274344324458,34.11522447652225,0.6657689745610325,-0.40495669779243304,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.0329783555642,-8.553332238032109
30.930149554492328,37.02135331908548,-0.4599936872383334,0.5096103307515781,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.0567035089964,-8.553332238032109
31.65890439959075,35.80769525617028,-0.17623944532379923,0.43842943214893004,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.067706625481,-8.553332238032109
33.08142109755368,34.730641835645976,-0.5785326337439776,0.6331988821555613,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.0693103916758,-8.553332238032109
38.03305896422382,30.69000390160392,-0.007585909026456711,-0.017364344045332034,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.0712092565755,-8.553332238032109
36.07283398399794,33.16964454101179,-0.12936656752038414,0.1325570521533463,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.0897180080428,-8.553332238032109
33.324067318091,35.15377694818977,-0.2641260497633717,0.3906026054703302,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.1056316038698,-8.553332238032109
36.21743347640895,33.387143198932485,-0.12787543799987872,0.07791083701486928,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.1233161441876,-8.553332238032109
34.310603553080995,35.62244750414771,-0.38382660816860703,0.27889625124584394,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.1242564326169,-8.553332238032109
33.58803309385637,35.781172557378525,-0.7938719973674695,0.6897474797127953,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.1333647362117,-8.553332238032109
33.357374749141705,34.624558757410995,-0.4748237151092923,0.5597419438994933,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.1485729699898,-8.553332238032109
34.37917761701107,32.89819008046842,0.4113942484251292,-0.15465331443265182,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.1808027930612,-8.553332238032109
37.227578804009404,32.46522590630029,0.30085049571039946,-0.5082561354553039,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.1822183185595,-8.553332238032109
31.94131785547107,35.049239796373264,-0.024495487172003984,0.24267935452879058,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.1853059367129,-8.553332238032109
31.67488347959497,34.8571134773345,0.3175836605366077,0.08489612674711317,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.1882174364113,-8.553332238032109
33.48490422419052,35.55590634463126,0.766985238158006,-0.7749137530866104,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.1925347993778,-8.553332238032109
31.003900718012652,37.33618812944277,-0.5656221045723366,0.4691936002621471,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.2189009989035,-8.553332238032109
38.054528641837415,30.747777240217097,-0.3532454338747822,0.5304992106677576,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.2270668073336,-8.553332238032109
33.636690357072055,35.588060377314505,-0.7776878038078954,0.6570065180698615,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.2303820077,-8.553332238032109
30.44149707213293,39.025614665494764,-0.6872715472681302,0.37989946510009576,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.2499058688466,-8.553332238032109
34.84775776418812,33.35162468261051,0.581645393606312,-0.6181751241920651,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.2631598748156,-8.553332238032109
35.17377916633202,33.83560143756113,0.7166931840733902,-0.7906292343759382,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.2703786531356,-8.553332238032109
37.188102187338245,31.240577820838794,0.48596699845876445,-0.5212588133478864,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.2887275721282,-8.553332238032109
32.38069629903745,35.78618373426218,-0.5669342846697905,0.6508384206190087,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.3111860980017,-8.553332238032109
32.54537534699723,36.33735179536317,-0.5894909967436261,0.442194741106555,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.3251889515183,-8.553332238032109
32.14282699832899,35.58345443863082,-0.4194043578008475,0.5693892567523332,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.3255273227427,-8.553332238032109
31.76311102055885,36.09241950860152,-0.716341246125564,0.797660822642512,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.3259433588667,-8.553332238032109
31.431707398733973,36.32459793337742,0.6162908950848219,-0.279189092582215,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.3447326188597,-8.553332238032109
34.433454419692964,32.234888479567644,0.34668381955190675,0.036391843441606085,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.3571280228443,-8.553332238032109
32.56413665592643,35.35924618411646,-0.29448820635115425,0.5098372021280215,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.382986413684,-8.553332238032109
32.527998133411735,35.49600025888417,-0.6957933942746055,0.7148260261686197,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.4014109428082,-8.553332238032109
32.214263967255675,36.85670516504563,-0.41911586336214735,0.39538596282476546,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.4285460518769,-8.553332238032109
39.12251870550812,30.572348499378403,0.2805357957606112,-0.7251694836009699,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.4343215880272,-8.553332238032109
31.773569655458207,36.29574258599951,-0.5833986919143366,0.6001235042233202,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.439113647216,-8.553332238032109
31.562971149070215,35.324466208961276,0.2518091519593097,0.057376849747637404,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.4438140226066,-8.553332238032109
36.80416582548585,31.249763629615074,0.6026081201773211,-0.644925319684989,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.4469516759066,-8.553332238032109
34.47120752386108,34.485222703739325,0.523624008777658,-0.5512127942025449,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.4623669703703,-8.553332238032109
32.66068318290176,35.85200728284285,-0.695951033741964,0.6846200459805732,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.4907352878699,-8.553332238032109
35.17280833230311,32.6804438916404,0.3762375739437318,-0.21760581302622103,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.4910672676963,-8.553332238032109
33.37239769516409,36.662437774302205,0.5946926747112211,-0.6016808677972587,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.5017810376298,-8.553332238032109
30.574548886003132,37.91247020477188,0.14069449200787928,-0.007379941932481107,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,671.5163643202109,-8.553332238032109
